,Accuracy,Accuracy,Accuracy,Accuracy,Accuracy,Precision,Precision,Precision,Precision,Precision,Recall,Recall,Recall,Recall,Recall,F1 Score,F1 Score,F1 Score,F1 Score,F1 Score,Hamming Loss,Exact Match Ratio
,NORM,MI,STTC,CD,HYP,NORM,MI,STTC,CD,HYP,NORM,MI,STTC,CD,HYP,NORM,MI,STTC,CD,HYP,Mean,Mean
0.51,0.827,0.832,0.851,0.867,0.896,0.75,0.657,0.659,0.719,0.571,0.918,0.716,0.791,0.692,0.565,0.825,0.685,0.719,0.705,0.568,0.14551,0.54217
0.53,0.83,0.835,0.853,0.867,0.898,0.756,0.666,0.667,0.722,0.583,0.915,0.709,0.779,0.685,0.561,0.828,0.687,0.719,0.703,0.572,0.14337,0.55051
0.55,0.835,0.834,0.855,0.87,0.899,0.763,0.669,0.673,0.732,0.589,0.913,0.691,0.775,0.683,0.542,0.831,0.68,0.721,0.707,0.565,0.14161,0.55978
0.57,0.835,0.836,0.857,0.87,0.902,0.765,0.677,0.68,0.735,0.608,0.908,0.685,0.774,0.677,0.538,0.83,0.681,0.724,0.705,0.571,0.14004,0.56487
0.59,0.838,0.837,0.86,0.871,0.902,0.773,0.681,0.687,0.744,0.613,0.903,0.678,0.772,0.667,0.527,0.833,0.679,0.727,0.704,0.567,0.13837,0.57136
0.61,0.841,0.838,0.861,0.873,0.901,0.778,0.687,0.694,0.758,0.613,0.899,0.669,0.76,0.655,0.508,0.834,0.678,0.725,0.703,0.555,0.13735,0.57507
0.63,0.841,0.839,0.863,0.876,0.901,0.783,0.692,0.703,0.774,0.616,0.89,0.665,0.75,0.649,0.496,0.833,0.678,0.726,0.706,0.55,0.13596,0.58387
0.65,0.84,0.839,0.865,0.873,0.903,0.786,0.696,0.711,0.772,0.631,0.881,0.656,0.741,0.635,0.489,0.831,0.675,0.726,0.697,0.551,0.13605,0.58804
0.67,0.84,0.84,0.864,0.873,0.903,0.789,0.7,0.713,0.781,0.631,0.875,0.649,0.731,0.625,0.477,0.83,0.674,0.722,0.694,0.543,0.13596,0.58804
0.69,0.838,0.839,0.863,0.873,0.904,0.791,0.703,0.715,0.783,0.641,0.866,0.64,0.722,0.617,0.469,0.827,0.67,0.718,0.69,0.542,0.13661,0.58804
0.71,0.838,0.839,0.862,0.874,0.902,0.794,0.711,0.719,0.795,0.638,0.86,0.622,0.706,0.609,0.45,0.826,0.663,0.712,0.689,0.528,0.13689,0.58665
0.73,0.838,0.842,0.862,0.876,0.903,0.797,0.726,0.722,0.808,0.651,0.856,0.611,0.697,0.603,0.435,0.825,0.663,0.709,0.691,0.522,0.13577,0.58248
0.76,0.838,0.842,0.861,0.873,0.904,0.8,0.732,0.727,0.814,0.663,0.85,0.6,0.679,0.583,0.427,0.824,0.659,0.702,0.679,0.52,0.13624,0.57878
0.78,0.838,0.842,0.863,0.873,0.904,0.803,0.74,0.739,0.818,0.669,0.843,0.589,0.668,0.573,0.416,0.823,0.656,0.702,0.674,0.513,0.13605,0.576
0.8,0.835,0.842,0.865,0.873,0.905,0.803,0.751,0.752,0.832,0.682,0.835,0.569,0.656,0.56,0.401,0.819,0.647,0.701,0.67,0.505,0.13614,0.57183
